ID,How likely are you to vote in the 2024 Presidential Election?,How enthusiastic are you to vote in the 2024 Presidential Election?,How often do you vote?," If the 2024 presidential election were held today, who would you vote for if the candidates were:",Party ID (With Leaners),Are you closer to being a:,"Who did you vote for in the 2020 presidential election, or did you not vote?",Which issue would you say is most important to your vote?,"Regardless of who you're supporting, which candidate would better handle the economy and jobs?","Regardless of who you're supporting, which candidate would better handle immigration and border security?","Regardless of who you're supporting, which candidate would better handle abortion rights and restrictions?",Do you support the construction of a border wall along the southern border?,Do you support the mass deportation of undocumented immigrants currently living in the United States?,Age,Gender,Race,Race/Education,Education Level,US Region,US Zip Code,LV Score
706,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Unsure,Yes,Yes,65+,Female,Other,Non White No College,No College,South,74701,13
707,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,Other,Non White No College,No College,Northeast,13662,13
708,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,South,77316,13
712,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,White,White College,College,West,88230,13
713,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Gun rights and restrictions,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,Black or African American,Non White College,College,West,90015,13
723,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White No College,No College,South,19804,13
724,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Donald Trump,Donald Trump,Kamala Harris,No,Yes,45-64,Female,Black or African American,Non White No College,No College,South,39553,13
727,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,Unsure,30-44,Female,White,White No College,No College,West,98815,13
728,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,65+,Female,Black or African American,Non White No College,No College,South,28273,13
729,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,65+,Female,White,White No College,No College,Northeast,15133,13
734,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,65+,Female,White,White College,College,Northeast,03051,13
735,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,30-44,Female,White,White No College,No College,Northeast,13322,13
738,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Male,Other,Non White College,College,Northeast,11372,13
743,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Yes,65+,Female,Black or African American,Non White No College,No College,South,70072,13
745,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Healthcare,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,18-29,Male,Black or African American,Non White No College,No College,South,38109,13
754,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,No,30-44,Male,Hispanic,Non White College,College,Northeast,15931,13
757,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,Unsure,45-64,Female,Black or African American,Non White No College,No College,South,42240,13
762,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,White,White College,College,West,91741,13
763,Certain,Very,Always,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,30-44,Female,White,White No College,No College,South,20011,13
768,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,I did not vote,Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,Black or African American,Non White No College,No College,Northeast,02905,13
771,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,Unsure,30-44,Female,Black or African American,Non White No College,No College,Midwest,60202,13
777,Certain,Very,Always,Undecided,Independent,Neither,"Joe Biden, the Democrat",The economy and jobs,Unsure,Unsure,Unsure,Yes,Yes,45-64,Female,White,White College,College,South,35405,13
780,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White College,College,South,28090,13
781,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,White,White College,College,Northeast,11581,13
782,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Unsure,Yes,30-44,Female,White,White No College,No College,Northeast,02745,13
789,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,30-44,Female,White,White College,College,Midwest,63021,13
790,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,Northeast,15681,13
791,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Yes,45-64,Female,Black or African American,Non White No College,No College,Northeast,15033,13
793,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,Unsure,30-44,Female,White,White No College,No College,Midwest,43021,13
806,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,Hispanic,Non White No College,No College,Midwest,44485,13
807,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Male,White,White College,College,West,92262,13
808,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White College,College,Northeast,08260,13
811,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Unsure,Yes,Yes,45-64,Female,White,White No College,No College,South,75446,13
814,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White College,College,South,37210,13
819,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,White,White College,College,West,85387,13
822,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Gun rights and restrictions,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Male,White,White No College,No College,South,32344,13
823,Certain,Very,Always,"Kamala Harris, the Democrat",Republican,,I did not vote,Abortion rights and restrictions,Kamala Harris,Unsure,Kamala Harris,No,No,45-64,Female,White,White No College,No College,West,92870,13
829,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Unsure,Yes,Yes,65+,Female,White,White No College,No College,Midwest,44133,13
832,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,30-44,Female,Black or African American,Non White No College,No College,Midwest,53225,13
835,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,Midwest,68144,13
836,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White College,College,Northeast,02135,13
839,Certain,Very,Always,"Donald Trump, the Republican",Independent,Neither,"Donald Trump, the Republican",Threats to democracy and corruption,Donald Trump,Donald Trump,Unsure,Yes,Yes,65+,Female,White,White No College,No College,South,32953,13
840,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Other,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,18-29,Male,Hispanic,Non White No College,No College,South,76098,13
841,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Unsure,Yes,Yes,30-44,Female,White,White No College,No College,Northeast,06492,13
868,Certain,Very,Always,"Donald Trump, the Republican",Democrat,,"Joe Biden, the Democrat",Crime and public safety,Unsure,Donald Trump,Kamala Harris,Unsure,Yes,45-64,Female,Black or African American,Non White College,College,South,20720,13
877,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,Other,Non White College,College,West,98604,13
879,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Crime and public safety,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Yes,45-64,Female,Black or African American,Non White No College,No College,Midwest,44077,13
883,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,Yes,No,65+,Female,Black or African American,Non White No College,No College,Northeast,14609,13
884,Certain,Very,Always,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White College,College,South,75287,13
888,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,65+,Female,White,White No College,No College,West,97230,13
893,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Kamala Harris,Yes,No,45-64,Female,White,White No College,No College,South,35004,13
895,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White College,College,South,75023,13
896,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Kamala Harris,Yes,Yes,65+,Female,White,White No College,No College,West,98198,13
899,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Unsure,45-64,Female,White,White No College,No College,South,72932,13
900,Certain,Very,Always,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Kamala Harris,No,Yes,45-64,Female,White,White No College,No College,Northeast,06470,13
906,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Unsure,Yes,Yes,65+,Female,White,White College,College,Northeast,11725,13
907,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,Northeast,15906,13
908,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,Black or African American,Non White No College,No College,South,77560,13
909,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,White,White College,College,South,34604,13
914,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Healthcare,Unsure,Unsure,Kamala Harris,Yes,Yes,45-64,Female,White,White No College,No College,South,74126,13
925,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White No College,No College,West,84405,13
929,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,West,93532,13
933,Certain,Very,Always,"Donald Trump, the Republican",Democrat,Democrat,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Kamala Harris,Yes,Yes,30-44,Female,White,White College,College,West,98391,13
935,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,Yes,No,45-64,Female,White,White No College,No College,West,90036,13
936,Certain,Very,Always,Undecided,Democrat,,"Joe Biden, the Democrat",Crime and public safety,Unsure,Unsure,Unsure,Yes,Yes,65+,Female,Other,Non White College,College,West,96797,13
937,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Yes,45-64,Female,White,White No College,No College,Midwest,60188,13
942,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Unsure,Kamala Harris,Yes,No,45-64,Female,White,White College,College,West,94568,13
944,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White College,College,Midwest,64055,13
945,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Threats to democracy and corruption,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,Midwest,45311,13
947,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Unsure,Kamala Harris,No,No,45-64,Female,White,White College,College,West,92656,13
956,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Threats to democracy and corruption,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Male,Other,Non White No College,No College,Midwest,61832,13
958,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Male,Hispanic,Non White No College,No College,Northeast,13021,13
961,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Yes,65+,Female,White,White No College,No College,South,30567,13
972,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White College,College,Northeast,14801,13
973,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,Unsure,45-64,Female,Hispanic,Non White No College,No College,West,89031,13
977,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Donald Trump, the Republican",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,Yes,No,65+,Female,White,White No College,No College,Midwest,58201,13
978,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White College,College,South,35750,13
979,Certain,Very,Always,"Donald Trump, the Republican",Democrat,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Kamala Harris,Yes,Unsure,45-64,Female,White,White No College,No College,Midwest,49938,13
982,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White College,College,Northeast,19003,13
983,Certain,Very,Always,"Kamala Harris, the Democrat",Republican,,"Joe Biden, the Democrat",Abortion rights and restrictions,Donald Trump,Donald Trump,Kamala Harris,Yes,Yes,65+,Female,White,White No College,No College,South,26104,13
988,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,White,White No College,No College,Northeast,19401,13
989,Certain,,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,Yes,No,65+,Female,White,White College,College,West,41031,13
991,Certain,Very,Always,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Unsure,65+,Female,White,White College,College,Northeast,14719,13
994,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Immigration and border security,Kamala Harris,Donald Trump,Kamala Harris,Yes,Yes,65+,Female,White,White No College,No College,South,92071,13
998,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,White,White No College,No College,West,92127,13
1000,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,White,White College,College,West,97035,13
1002,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,Midwest,62526,13
1005,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White No College,No College,South,70592,13
1013,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,White,White No College,No College,Northeast,18037,13
1016,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Unsure,Yes,Yes,65+,Female,White,White No College,No College,Midwest,44830,13
1017,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,White,White College,College,Midwest,56252,13
1018,Certain,,Always,"Kamala Harris, the Democrat",Independent,Neither,"Joe Biden, the Democrat",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,Black or African American,Non White No College,No College,West,85283,13
1024,Certain,Very,Always,"Donald Trump, the Republican",Independent,Neither,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Kamala Harris,Yes,Yes,65+,Female,White,White No College,No College,Midwest,49424,13
1026,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Unsure,65+,Female,White,White No College,No College,Northeast,18472,13
1027,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,South,34266,13
1028,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Unsure,Yes,Yes,65+,Female,White,White No College,No College,Northeast,17972,13
1030,Certain,Very,Always,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Other,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Male,White,White No College,No College,West,85705,13
1031,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Male,White,White No College,No College,Midwest,53051,13
1032,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,30-44,Male,Hispanic,Non White College,College,Northeast,19092,13
1033,Certain,Very,Always,"Donald Trump, the Republican",Democrat,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,30-44,Male,Hispanic,Non White College,College,Northeast,10001,13
1035,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Immigration and border security,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Yes,30-44,Male,White,White College,College,South,33187,13
1042,Certain,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White No College,No College,Northeast,17347,13
1044,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Unsure,Kamala Harris,No,Yes,45-64,Male,Hispanic,Non White No College,No College,Northeast,19134,13
1045,Certain,Very,Always,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,No,No,45-64,Male,Hispanic,Non White College,College,Northeast,17011,13
1046,Certain,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Male,Hispanic,Non White No College,No College,Northeast,15223,13
369,Certain,Very,Recently registered to vote,"Donald Trump, the Republican",Republican,Republican,I did not vote,Crime and public safety,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Male,Other,Non White College,College,South,77433,12
928,Certain,Very,Recently registered to vote,"Kamala Harris, the Democrat",Democrat,,I did not vote,Abortion rights and restrictions,Kamala Harris,Donald Trump,Kamala Harris,Unsure,No,18-29,Female,White,White No College,No College,Midwest,43123,12
4,Likely,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,White,White No College,No College,South,72753,11
16,Likely,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Male,White,White No College,No College,Northeast,12871,11
26,Certain,Very,Only in presidential elections,"Kamala Harris, the Democrat",Republican,,"Donald Trump, the Republican",The economy and jobs,Kamala Harris,Donald Trump,Unsure,Yes,Yes,30-44,Female,White,White No College,No College,Northeast,18232,11
33,Certain,Very,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,Unsure,45-64,Female,Black or African American,Non White No College,No College,West,89121,11
41,Likely,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,Northeast,08562,11
54,Certain,Somewhat,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Gun rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,Unsure,65+,Female,White,White No College,No College,Midwest,60440,11
58,Likely,Very,Always,"Donald Trump, the Republican",Democrat,,"Joe Biden, the Democrat",Crime and public safety,Kamala Harris,Donald Trump,Kamala Harris,No,No,30-44,Female,Black or African American,Non White No College,No College,Northeast,19123,11
61,Likely,Very,Always,"Donald Trump, the Republican",Independent,Neither,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,No,Yes,45-64,Male,Black or African American,Non White No College,No College,South,29841,11
62,Likely,Very,Always,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,Northeast,01830,11
67,Likely,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Other,Kamala Harris,Donald Trump,Kamala Harris,No,No,45-64,Male,Black or African American,Non White No College,No College,West,93505,11
75,Likely,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,65+,Female,White,White No College,No College,West,98006,11
81,Certain,Somewhat,Always,"Kamala Harris, the Democrat",Republican,,"Joe Jorgensen, the Libertarian",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Unsure,65+,Female,White,White No College,No College,Northeast,13832,11
84,Likely,Very,Always,"Donald Trump, the Republican",Independent,Neither,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Male,White,White College,College,Northeast,08865,11
85,Likely,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Male,White,White No College,No College,South,29505,11
89,Certain,Very,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,I did not vote,Immigration and border security,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Yes,45-64,Male,White,White No College,No College,South,40504,11
100,Likely,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,Yes,45-64,Male,Black or African American,Non White No College,No College,South,70802,11
104,Certain,Somewhat,Always,"Donald Trump, the Republican",Republican,,"Joe Biden, the Democrat",Abortion rights and restrictions,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Male,Black or African American,Non White College,College,South,33441,11
123,Likely,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Unsure,Kamala Harris,No,Yes,65+,Male,Other,Non White College,College,Northeast,17070,11
